Dataset	Domain	Score	Sent1	Sent2
STS2015-gold	answers-students	0.80	when it disrupts a complete path	When the switch and the bulb are contained in the same path
STS2015-gold	answers-students		There was a connection between terminal 1 and the positive terminal	terminal 1 is connected to the negative battery terminal
STS2015-gold	answers-students	4.80	terminal 1 is connetced to terminal 4	Terminals 1 and 4 are connected
STS2015-gold	answers-students	1.40	There is no gap in the circuit.	Bulb A is still contained in a closed path with the battery.
STS2015-gold	answers-students		there is a closed path that contains bulb a and does not contain switch y	Bulb A is still in a closed path with the battery
STS2015-gold	answers-students	3.60	Bulb A and bulb C are in a closed path with the battery.	Bulb B and Bulb C were still contained in the same closed path with the battery.
STS2015-gold	answers-students	3.40	bulbs a and b are still contained on a closed path with the battery	If C burns out then A and B are still in a closed path with the battery
STS2015-gold	answers-students		Because it was not connect to the negative end of the terminal	terminal 1 is connected to the negative battery terminal
STS2015-gold	answers-students	2.00	because there was no gap from the positive terminal of the battery	Terminal 1 and the positive terminal are separated by the gap
STS2015-gold	answers-students		There is a bad connection between a bulb terminal and a battery terminal.	there is no gap between the terminals
STS2015-gold	answers-students	1.00	Because it still caught the current from both terminals	Switch Y and bulb A are not in the same closed path
STS2015-gold	answers-students		bulbs b and c are not in a closed path with bulb a	each bulb is in its own path
STS2015-gold	answers-students		Damaged bulb A creates a gap in the circuit	If bulb A burns out, neither B nor C is in a closed path
STS2015-gold	answers-students	3.60	The current has shorted out the battery.	there is a short circuit
STS2015-gold	answers-students	2.40	the terminals go from not being connected to being connected to each other.	the terminals are not connected
STS2015-gold	answers-students	2.60	Because terminal 1 is connected to the positive battery terminal	terminal 1 is connected to the negative battery terminal
STS2015-gold	answers-students	4.80	The battery is contaied in a closed path without another component.	The battery is contained in a path which does not contain any other components
STS2015-gold	answers-students	2.80	The battery and light bulb are not contained in a close path	The battery in 4 is not in a closed path
STS2015-gold	answers-students	1.17	Because one of the bulb terminals is bad, and the other ones are good.	Terminals 4, 5 and 6 are connected to the positive battery terminal
STS2015-gold	answers-students		because it is not in the path to the battery	Bulb A is still in a closed path with the battery
STS2015-gold	answers-students		Bulb A, bulb B and bulb C are not contained in the same closed path.	A and C are not in the same path with the battery
STS2015-gold	answers-students		It has its own path that is connected to the battery	each bulb is in its own path
STS2015-gold	answers-students		there is a gap between terminal 6 and a positive battery terminal	There is no gap between terminal 6 and the positive terminal
STS2015-gold	answers-students		If the path is unbroken by the switch then the switch will not have an affect	If a bulb and a switch are in the same path the switch affects the bulb
STS2015-gold	answers-students		bulbs a and c are wired within a closed path	A and C are in the same closed path
STS2015-gold	answers-students	1.60	Because it was still connected to the battery terminal.	Bulb A is still contained in a closed path with the battery.
STS2015-gold	answers-students	3.00	There is no gap so there is no difference in voltage	there is no gap between the terminals
STS2015-gold	answers-students		there is not a closed path that contains the batteyr and bulb b and bulb c	If bulb A burns out, there is no longer a closed path containing B, C and the battery
STS2015-gold	answers-students	1.00	the voltage stays the same within the battery	A battery uses a chemical reaction to maintain different electrical states at the terminals
STS2015-gold	answers-students	1.40	Because there is a bulb in one of the paths.	there is no closed path containing the battery
STS2015-gold	answers-students	4.20	when a switch and bulb are whithin a closed path	When the switch and the bulb are contained in the same path
STS2015-gold	answers-students	5.00	There is a gap in the circut.	there is a gap in the circuit
STS2015-gold	answers-students	5.00	Terminal 1 is connected to terminl 4.	Terminals 1 and 4 are connected
STS2015-gold	answers-students	5.00	the positive battery terminal is separarted by a gap from terminal 3.	Terminal 3 and the positive terminal are separated by the gap
STS2015-gold	answers-students	1.80	terminal 1 is connected to the positive terminal	Terminal 1 and the positive terminal are separated by the gap
STS2015-gold	answers-students	2.60	Bulbs A and C are still contained in closed paths with the battery	If C burns out, then A and B are still in a closed path with the battery.
STS2015-gold	answers-students		If a switch is connected to a bulb it will still work.	If a bulb and a switch are in the same path the switch affects the bulb
STS2015-gold	answers-students	1.40	Because Bulb C is not contained on the path of the other bulbs	A and B have their own path
STS2015-gold	answers-students	3.60	terminal is connected to postive terminal of the battery	Terminal 6 and the positive terminal are connected
STS2015-gold	answers-students	1.60	The voltage does not change.	A battery uses a chemical reaction to maintain different electrical states at the terminals
STS2015-gold	answers-students	4.80	The two terminals of a battery will always have different electrical states due to a chemical reaction inside the battery	A battery uses a chemical reaction to maintain different electrical states at the terminals
STS2015-gold	answers-students		there are other closed paths	bulbs A and B are in a closed path
STS2015-gold	answers-students	1.00	The bulb does not effect the others	there is an incomplete circuit
STS2015-gold	answers-students	2.40	THE ARE ON THE SAME PATH	A and C are in the same path
STS2015-gold	answers-students		the posiive battery terminal is separated by a gap from terminal 2	Terminal 2 and the positive terminal are separated by the gap
STS2015-gold	answers-students		Terminal 2 and the positive terminal had different electrical states.	Terminal 2 and the positive terminal are separated by the gap
STS2015-gold	answers-students	2.20	switch z is contained in a closed path	there is a path containing both Z and C
STS2015-gold	answers-students	2.60	The battery will have a different electrical state than the circuit	A battery uses a chemical reaction to maintain different electrical states at the terminals
STS2015-gold	answers-students	0.60	If one bulb is removed, the others stop working	A and C are in the same closed path
STS2015-gold	answers-students	4.60	Terminals 4, 5, and 6 are only connected to the positive battery terminal.	Terminals 4, 5 and 6 are connected to the positive battery terminal
STS2015-gold	answers-students	3.80	positive battery is seperated by a gap from terminal 2	Terminal 2 and the positive terminal are separated by the gap
STS2015-gold	answers-students		because bulb c burning out would not damage the complete circuit	If C burns out, then A and B are still in a closed path.
STS2015-gold	answers-students		because bulb a and b are still contained within a closed path with the battery	If C burns out then A and B are still in a closed path with the battery
STS2015-gold	answers-students	1.40	because there was two negative connections	Terminals 1 and 2 are connected
STS2015-gold	answers-students	3.60	ARE ALL ON SEPARATE PATHS	A and C are in different paths
STS2015-gold	answers-students	1.20	because switch y is not conatined in the closed path of bulb a and the battery.	Bulb A is still in a closed path with the battery
STS2015-gold	answers-students	3.20	Bulb A and Bulb B and the battery are in a closed path.	If C burns out, then A and B are still in a closed path with the battery.
STS2015-gold	answers-students		i said bulbs a and c are linked to the battery!	Bulbs A and C are still in closed paths with the battery
STS2015-gold	answers-students		bulb a is contained in their closed paths	If bulb A burns out, neither B nor C is in a closed path
STS2015-gold	answers-students	5.00	if the switch and the bulb are in the same path	When the switch and the bulb are contained in the same path
STS2015-gold	answers-students	4.20	The damaged bulb creates a gap in the path.	a damaged bulb creates a gap
STS2015-gold	answers-students	1.00	the bulb is not fully in the path of the circuit	The battery is contained in a path which does not contain any other components
STS2015-gold	answers-students	5.00	the positive battery terminal is connected to terminal 4.	Terminal 4 and the positive terminal are connected
STS2015-gold	answers-students		Bulb A is not in the same path as Bulb B and Bulb C.	each bulb is in its own path
STS2015-gold	answers-students		because the circuits will be closed	bulbs B and C are still in closed paths with the battery
STS2015-gold	answers-students		There is a gap in the closed path.	If bulb A burns out, neither B nor C is in a closed path
STS2015-gold	answers-students		There is not a closed path with the battery and bulb C	There was no longer a closed path containing Bulb C and the battery
STS2015-gold	answers-students		The electrical state will be non-zero	A non-zero voltage means that the terminals are not connected.
STS2015-gold	answers-students	5.00	the positive terminal and terminal 2 are seperated by a gap	Terminal 2 and the positive terminal are separated by the gap
STS2015-gold	answers-students	3.80	Both components need to be in closed paths.	the bulb and the battery are in a closed path
STS2015-gold	answers-students		Switch X can still form a closed path	there is still a closed path containing Switch Z, Switch X, Bulbs A and C and the battery
STS2015-gold	answers-students	2.20	Because bulb B is damaged and does not allow the positive battery current to reach the other side.	Terminals 1, 2 and 3 are not connected to the positive battery terminal
STS2015-gold	answers-students	3.20	terminal 6 is connected to postive end of battery and the voltage meter	Terminal 6 and the positive terminal are connected
STS2015-gold	answers-students	1.00	A terminal is not connected to the positive battery terminal.	Terminals 1 and 4 are connected
STS2015-gold	answers-students	3.20	positive terminal is serperated from terminal 2	Terminal 2 and the positive terminal are separated by the gap
STS2015-gold	answers-students	3.40	The battery is in an open path to the bulb.	the battery is in an open path
STS2015-gold	answers-students	2.60	There will be a gap where the bulb holder is supposed to be	there is a gap in a circuit
STS2015-gold	answers-students	4.40	Bulbs B and C will still be on closed paths with the battery	bulbs B and C are still in closed paths with the battery
STS2015-gold	answers-students		there is no difference in electrical states	Terminals 1 and 2 are connected and in the same electrical state
STS2015-gold	answers-students		all have the same voltage reading	Terminals 1, 2 and 3 are separated from the positive battery terminal by a gap
STS2015-gold	answers-students		the path a bulb is on determines whether or not a switch affects a bulb	If a bulb and a switch are in the same path the switch affects the bulb
STS2015-gold	answers-students	4.60	Bulb A is on its own closed path and bulbs B and C are on the same closed path	there is a path containing A and a different path containing B and C
STS2015-gold	answers-students	1.00	bulb A is connected to switch Z	There is no path containing both switch Y and bulb A
STS2015-gold	answers-students	4.60	Terminal 6 is connected to the posititve battery terminal.	Terminal 6 and the positive terminal are connected
STS2015-gold	answers-students	1.00	bulb had a short circuit	there is a complete circuit
STS2015-gold	answers-students	1.60	Battery will always have voltage.	A battery uses a chemical reaction to maintain different electrical states at the terminals
STS2015-gold	answers-students	0.60	It turns off all the bulbs.	the open switch creates a gap
STS2015-gold	answers-students	1.40	The voltage is 1.5 because thebulb terminal is connected to the battery terminal.	terminal 1 is connected to the negative battery terminal
STS2015-gold	answers-students	4.40	because a and c are still in a closed circuit	Bulbs A and C are in a closed path
STS2015-gold	answers-students		there is still a closed path	Bulbs A and C are in a closed path
STS2015-gold	answers-students		the positive battery terminal is not connected to the negative battery terminal.	A battery uses a chemical reaction to maintain different electrical states at the terminals
STS2015-gold	answers-students		bulb c is not on the same path as bulb a or bulb b	Bulb C is in a separate path
STS2015-gold	answers-students	3.20	the terminals are connedted to the negative terminal of the battery.	Terminals 1, 2 and 3 are connected to the negative battery terminal
STS2015-gold	answers-students	2.40	because those terminals are connected to the positive terminal of the battery.	Terminals 4, 5 and 6 are connected to the positive battery terminal
STS2015-gold	answers-students		A light bulb is attached to the battery.	the battery is in an open path
STS2015-gold	answers-students		switch z could be closed	there is still a closed path containing Switch Z, Switch X, Bulbs A and C and the battery
STS2015-gold	answers-students		The positive battery terminal is a closed path from terminal 4.	Terminal 4 and the positive battery terminal are in the same electrical state
STS2015-gold	answers-students		A damaged bulb disrupts the flow of the current.	a damaged bulb creates a gap
STS2015-gold	answers-students		because there is no gap between the positive and negative terminal	A battery uses a chemical reaction to maintain different electrical states at the terminals
STS2015-gold	answers-students		terminal 1 is connected to a battery	Terminals 1 and 2 are in the same electrical state
STS2015-gold	answers-students	3.60	Bulb A was still in a closed path	Bulb A is still contained in a closed path with the battery and switch X.
STS2015-gold	answers-students	1.00	there is a gap in the connection.	there is no gap between the terminals
STS2015-gold	answers-students	4.20	there is a closed path, with no lightbulb in the path	the battery is contained in a path in which there is no bulb
STS2015-gold	answers-students		damaging bulb a creates a gap.	If bulb A burns out, neither B nor C is in a closed path
STS2015-gold	answers-students		bulb a is in the same path of bulbs b and c	If bulb A burns out, B and C are no longer in a closed path with the battery
STS2015-gold	answers-students	4.80	bulbs a and c are still contained in a closed path with the battery.	Bulbs A and C are still in closed paths with the battery
STS2015-gold	answers-students		bulb b did not create a gap in the path for bulb b or c	Bulbs A and C are still in closed paths
STS2015-gold	answers-students	4.90	terminal 1 is not connected to the positive battery terminal	Terminal 1 and the positive terminal are not connected
STS2015-gold	answers-students		because there is a gap	Terminal 1 and the positive terminal are separated by the gap
STS2015-gold	answers-students	4.00	the battery is contained in the circuit and the light bulb is not	the battery is contained in a path in which there is no bulb
STS2015-gold	answers-students		because a chemical reaction inside the battery keeps the positive and negative terminals at different electrical states at all times.	A battery uses a chemical reaction to maintain different electrical states at the terminals
STS2015-gold	answers-students		the battery is in a closed circuit	the battery is contained in a closed path in which there is no bulb
STS2015-gold	answers-students		Because it stops the flow of one side of a battery from reaching the other light bulbs.	the path is not closed
STS2015-gold	answers-students	3.00	The battery uses a chemical reaction to maintain the voltage,	A battery uses a chemical reaction to maintain different electrical states at the terminals
STS2015-gold	answers-students		because it was contained in same path as the battery	Bulb A was still contained in the same closed path with the battery.
STS2015-gold	answers-students	4.60	Terminal 4, terminal 5, and terminal 6 are connected to the positive terminal	Terminals 4, 5 and 6 are connected to the positive battery terminal
STS2015-gold	answers-students		terminal 4 is separated by a gap from the negative terminal	terminal 4 is separated by a gap from the negative battery terminal
STS2015-gold	answers-students	4.80	bulb b and c are contained in the same path with the battery.	B and C are in the same path with the battery
STS2015-gold	answers-students		it was in a closed path with a battery	Bulb A was still contained in the same closed path with the battery.
STS2015-gold	answers-students	5.00	the negative batter terminal is seperated by a gap from terminal 4	terminal 4 is separated by a gap from the negative battery terminal
STS2015-gold	answers-students	4.00	Because the path between the battery and the light bulb is not closed	the path is not closed
STS2015-gold	answers-students		There is a gap between the bulb and the battery terminal.	there is no gap between the terminals
STS2015-gold	answers-students		bulb a and bulb b are containe4d in different paths with the battery.	A and C are in different paths with the battery
STS2015-gold	answers-students	4.00	That the terminals are not connected to each other.	the terminals are not connected
STS2015-gold	answers-students		because a difference in voltage is due to a gap.	A non-zero voltage means that there is a gap
STS2015-gold	answers-students		It was connected to the positive terminal.	Terminal 1 and the positive terminal are separated by the gap
STS2015-gold	answers-students	0.60	the batteries terminals are not connected	Circuit 4 has no closed paths
STS2015-gold	answers-students	1.40	because the path was closed	Bulb A is still contained in a closed path with the battery.
STS2015-gold	answers-students	2.80	the positive battery terminal is separated by a gap	Terminal 1 and the positive terminal are separated by the gap
STS2015-gold	answers-students	2.40	if a bulb is in a closed circuit with a battery and a switch the switch will affect the bulb.	When the switch and the bulb are contained in the same path
STS2015-gold	answers-students		bulb c is not in the same path of the battery.	If C burns out then A and B are still in a closed path with the battery
STS2015-gold	answers-students		+ releases current - recieves it?	Terminals 4, 5 and 6 are connected to the positive battery terminal
STS2015-gold	answers-students	3.40	because there is not a closed circuit anymore for bulb c	Bulb C was no longer in a closed path with the battery
STS2015-gold	answers-students	5.00	Terminal 5 is connected to teh positive battery terminal	Terminal 5 and the positive terminal are connected
STS2015-gold	answers-students		electrical state is not connected to volts	A non-zero voltage means that the terminals are not connected.
STS2015-gold	answers-students		it will cut off the circuit	bulb B creates a gap
STS2015-gold	answers-students		Bulbs are on different closed paths	A and C are in different paths
STS2015-gold	answers-students		the path will be closed	bulbs A and B are in a closed path
STS2015-gold	answers-students	1.00	because the path is short	the path is not closed
STS2015-gold	answers-students		both terminals were connected to the negative terminal of the battery	Terminals 1 and 2 are connected and in the same electrical state
STS2015-gold	answers-students		Bulb A was in a closed circuit.	Bulb A is still contained in a closed path with the battery.
STS2015-gold	answers-students	2.40	The path it was on	there is a path containing both Z and C
STS2015-gold	answers-students		because terminal 1 had both a positive and negative charge.	Terminal 1 and the positive terminal are separated by the gap
STS2015-gold	answers-students		terminal 1 is not connected to the positive battery terminal	Terminal 1 and the positive terminal are not connected
STS2015-gold	answers-students		bulb b and bulb c were still contained in a closed path with the battery	Bulb B and Bulb C were still contained in the same closed path with the battery.
STS2015-gold	answers-students	1.40	that the bulb terminal is only connected to one of the battery terminals	there is no gap between the terminals
STS2015-gold	answers-students	4.60	Bulbs A and C were still contained on closed paths with the batery	Bulbs A and C are still contained in closed paths with the battery
STS2015-gold	answers-students	5.00	Terminal five is connected to the positive battery terminal.	Terminal 5 and the positive terminal are connected
STS2015-gold	answers-students		The gap prevents the terminals from being closed	terminal 6 is separated by a gap from the negative battery terminal
STS2015-gold	answers-students	3.20	because there is no closed path to the battery	the path is not closed
STS2015-gold	answers-students		it can be either closed or open	If a bulb and a switch are in the same path the switch affects the bulb
STS2015-gold	answers-students		terminal 6 has gap	Terminals 1 and 6 are separated by the gap
STS2015-gold	answers-students	5.00	terminal one is connected to the negative battery terminal	terminal 1 is connected to the negative battery terminal
STS2015-gold	answers-students		there is a difference of 1.5 volts between terminal 1 and the positive terminal	Terminal 1 and the positive terminal are separated by the gap
STS2015-gold	answers-students	3.60	when the switch is on a closed path with the bulb	When the switch and the bulb are contained in the same path
STS2015-gold	answers-students	1.80	removing one bulb shuts off the other.	A and C are in the same closed path
STS2015-gold	answers-students	5.00	bulb a is in a closed path with a battery	Bulb A is still in a closed path with the battery
STS2015-gold	answers-students	2.60	if the bulb and the switch are contained by a closed path then the switch affects the bulb.	When the switch and the bulb are contained in the same path
STS2015-gold	answers-students		both of the terminals are connected to the negative battery terminal	Terminals 1 and 2 are connected
STS2015-gold	answers-students		the bulb is not connected on both ends	The battery is contained in a path which does not contain any other components
STS2015-gold	answers-students		The battery is not contained in the closed path	there is no closed path containing the battery
STS2015-gold	answers-students	1.00	the bulb will not light	there is no gap between the terminals
STS2015-gold	answers-students	1.40	If bulb B is damaged, then the circut is no longer closed.	there is no closed path
STS2015-gold	answers-students		A battery and a bulb must be in a closed path together	the bulb and the battery are in a closed path
STS2015-gold	answers-students	4.40	a damaged bulb creates a gap in the path.	a damaged bulb creates a gap
STS2015-gold	answers-students	4.40	bulb c and switch z are in the same closed path	there is a path containing both Z and C
STS2015-gold	answers-students	3.80	A switch creates a break in the closed path.	the open switch creates a gap
STS2015-gold	answers-students	2.00	because the battery has electricity and the gap does not	A battery uses a chemical reaction to maintain different electrical states at the terminals
STS2015-gold	answers-students	2.60	It must be in a closed path.	the bulb and the battery are in a closed path
STS2015-gold	answers-students	2.00	Circuit 2 is not a short circuit because the battery is not connected to itself.	The battery in 2 is not in a closed path
STS2015-gold	answers-students		Because if the gap is open the bulb will not go on	there is a gap in a circuit
STS2015-gold	answers-students		The path has to be closed in order for a switch to affect a bulb	If a bulb and a switch are in the same path the switch affects the bulb
STS2015-gold	answers-students	3.00	bulbs A and B are still connected to the closed circuit containing the battery	If C burns out then A and B are still in a closed path with the battery
STS2015-gold	answers-students	4.40	Bulb A and C will still be contained in a closed path with the battery	Bulbs A and C are still in closed paths with the battery
STS2015-gold	answers-students		removing of damaging any of the bulbs will shut off the other bulbs.	A and C are in the same closed path
STS2015-gold	answers-students		It still has a connect path between bulb a and c and the battery.	there is an incomplete circuit
STS2015-gold	answers-students	3.00	terminal is connected to the battery	Terminals 1, 2 and 3 are connected to the negative battery terminal
STS2015-gold	answers-students	0.00	I think the red X means that this is dangerous and should never happen unless something is seriously wrong.	there is a short circuit
STS2015-gold	answers-students	5.00	terminal 1is connected to terminal 4	Terminals 1 and 4 are connected
STS2015-gold	answers-students	5.00	terminal one is not connected to terminal six	Terminals 1 and 6 are not connected
STS2015-gold	answers-students		the terminals were connected to the positive terminals of the battery	Terminal 1 and the positive terminal are separated by the gap
STS2015-gold	answers-students		if it is closed and contained in the same closed path with the battery	When the switch and the bulb are contained in the same path
STS2015-gold	answers-students		its not effecting the current to switch A	there is a path containing A, C, Z and X
STS2015-gold	answers-students	2.00	the path has to be closed for the bulb to light up	If a bulb and a switch are in the same path the switch affects the bulb
STS2015-gold	answers-students	4.20	The positive battery was not connected to terminal one.	Terminal 1 and the positive terminal are not connected
STS2015-gold	answers-students	2.80	The circuit is not closed around the battery.	The battery in 2 is not in a closed path
STS2015-gold	answers-students	1.40	Because it can go through switch Z	there is a path containing A, C, Z and X
STS2015-gold	answers-students		the negative battery terminal is not reaching terminal 6	terminal 6 is separated by a gap from the negative battery terminal
STS2015-gold	answers-students		Terminal 6 was only connected to the positive terminal.	Terminal 6 and the positive terminal are connected
STS2015-gold	answers-students	2.00	if the path is closed with the battery, the switch doesnt affect it	If a bulb and a switch are in the same path the switch affects the bulb
STS2015-gold	answers-students		it does not damage the battery	there is no closed path containing the battery
STS2015-gold	answers-students	5.00	terminal 3 and the positie terminal are not connected.	Terminal 3 and the positive terminal are not connected
STS2015-gold	answers-students	3.40	because bulb c is not included in the closed path	There is a closed path with A and B that C is not in.
STS2015-gold	answers-students		positive battery terminal is separated by a gap	There is no gap between terminal 6 and the positive terminal
STS2015-gold	answers-students	2.60	Terminal 1 and the positive terminal had different electrical states.	Terminal 1 and the positive terminal are separated by the gap
STS2015-gold	answers-students		circuit was complete until gap	Terminal 1 and the positive terminal are separated by the gap
STS2015-gold	answers-students	3.60	the gap in terminal 2 is postive	Terminal 2 and the positive terminal are separated by the gap
STS2015-gold	answers-students	3.60	Bulbs a and c are in separate closed paths with the battery.	A and C are in different paths with the battery
STS2015-gold	answers-students		because terminal one is connected to the positive battery terminal	terminal 1 is connected to the negative battery terminal
STS2015-gold	answers-students	3.20	bulb, battery, and switch are in closed path	When the switch and the bulb are contained in the same path
STS2015-gold	answers-students	5.00	terminals 4, 5, and 6 are connected to the positive battery terminal	Terminals 4, 5 and 6 are connected to the positive battery terminal
STS2015-gold	answers-students		the open switch will open the path	When the switch and the bulb are contained in the same path
STS2015-gold	answers-students	3.60	Terminal 5 and the positive battery terminal are in the same state.	Terminal 5 and the positive terminal are connected
STS2015-gold	answers-students	4.80	bulbs a and c are contained in different paths with the battery	A and C are in different paths with the battery
STS2015-gold	answers-students	4.00	Because the battery is not in a closed path.	The battery in 4 is not in a closed path
STS2015-gold	answers-students	1.40	bulb a creates a gap	each bulb is in its own path
STS2015-gold	answers-students	4.90	Terminal 6 is connected to the positive battery terminal	Terminal 6 and the positive terminal are connected
STS2015-gold	answers-students	3.40	we can find the burnt out bulb by finding voltage between different terminals	Measuring voltage indicates the place where the electrical state changes due to a damaged bulb.
STS2015-gold	answers-students		the gap between the damaged wires of bulb b creates a gap in the path.	bulb B creates a gap
STS2015-gold	answers-students		The terminal is not connected to the positive battery terminal.	Terminal 2 and the positive terminal are not connected
STS2015-gold	answers-students	3.20	the terminals are on the same side as the negative side of the battery.	Terminals 1, 2 and 3 are connected to the negative battery terminal
STS2015-gold	answers-students		switch y does not affect bulb A	There is no path containing both switch Y and bulb A
STS2015-gold	answers-students		because it was in a closed path	Bulb A is still contained in a closed path with the battery.
STS2015-gold	answers-students	1.60	the positive battery terminal s separated by a gap from terminal 4	Terminal 4 and the positive battery terminal are in the same electrical state
STS2015-gold	answers-students		when switch z was closed bulb a was in a complete curcuit connected to the battery	Bulb A is still contained in a closed path with the battery and switch Z.
STS2015-gold	answers-students		the terminal is connected to a bad bulb terminal.	Terminals 1, 2 and 3 are separated from the positive battery terminal by a gap
STS2015-gold	answers-students		those terminals are on the same side as the negative battery terminal	Terminals 1, 2 and 3 are connected to the negative battery terminal
STS2015-gold	answers-students	3.40	it creates a gap in the current.	the open switch creates a gap
STS2015-gold	answers-students	3.20	a terminal is connected to the positive terminal of the battery	Terminal 6 and the positive terminal are connected
STS2015-gold	answers-students	3.60	there is not a complete path involving both battery terminals	there is no closed path containing the battery
STS2015-gold	answers-students	4.20	Both the light bulb and battery must be in a closed path.	the bulb and the battery are in a closed path
STS2015-gold	answers-students	3.20	the two terminals are connected	Terminal 6 and the positive terminal are connected
STS2015-gold	answers-students		bulb is contained in a closed path.	The battery is contained in a path which does not contain any other components
STS2015-gold	answers-students	4.40	because bulb a was still in a closed path with the battery	Bulb A was still contained in the same closed path with the battery.
STS2015-gold	answers-students		the battery is not connected correctly	there is a short circuit
STS2015-gold	answers-students	1.60	because it has another closed path it can use	Bulb A is still in a closed path with the battery
STS2015-gold	answers-students		Damaging Bulb A would disrupt the closed path with the battery.	If bulb A burns out, B and C are no longer in a closed path with the battery
STS2015-gold	answers-students		The chemical reation still exists	A battery uses a chemical reaction to maintain different electrical states at the terminals
STS2015-gold	answers-students		Bulb C was off when switch Z was open because bulb C was directly in an open path.	Bulb C was in no closed path
STS2015-gold	answers-students		because the voltage is the difference in electrical states between two terminals	A battery uses a chemical reaction to maintain different electrical states at the terminals
STS2015-gold	answers-students		because the broken bulb created a gap not allowing the current to flow through both.	Terminals 4, 5 and 6 are separated from the negative battery terminal by a gap
STS2015-gold	answers-students	2.20	because a and b are in series and a and c are in parallel	If C burns out, then A and B are still in a closed path.
STS2015-gold	answers-students	1.40	It receives current from switche Z.	there is a path containing A, C, Z and X
STS2015-gold	answers-students	4.80	the positive batter terminal does not have a gap from terminal 4	Terminal 4 and the positive terminal are not separated by the gap
STS2015-gold	answers-students		there is a gap caused by bulb A	If bulb A burns out, neither B nor C is in a closed path
STS2015-gold	answers-students	3.80	bulbs a and c are not contained ina closed path	A and C are not in the same path
STS2015-gold	answers-students		bulb a come before switch y	Switch Y and bulb A are not in the same closed path
STS2015-gold	answers-students	5.00	bulbs b and c are contained on the same path with the battery	B and C are in the same path with the battery
STS2015-gold	answers-students		The voltage size is 0	Terminals 1, 2 and 3 are separated from the positive battery terminal by a gap
STS2015-gold	answers-students		same path with the battery	B and C are in the same path with the battery
STS2015-gold	answers-students	1.40	if x and z are closed then it will create a closed path	there is a path containing A, C, Z and X
STS2015-gold	answers-students		because the voltage was 0 and there is a gap between 3 and 4	Terminals 1, 2 and 3 are connected to the negative battery terminal
STS2015-gold	answers-students	1.00	The terminal is connected to a negative terminal.	there is no gap between the terminals
STS2015-gold	answers-students	1.00	B and C are not in the same circuit as A.	each bulb is in its own path
STS2015-gold	answers-students	0.40	bulb b created a gap	Terminal 4 and the positive battery terminal are in the same electrical state
STS2015-gold	answers-students		the battery is not connected to the bulb	The bulb is not in the closed path containing the battery
STS2015-gold	answers-students		damaged bulb a creates a gap	If bulb A burns out, neither B nor C is in a closed path
STS2015-gold	answers-students	1.33	bulbs b and c creat a gap in the path	Bulb B is in a separate path
STS2015-gold	answers-students		there is a gap between terminals	A battery uses a chemical reaction to maintain different electrical states at the terminals
STS2015-gold	answers-students		because there is a gap in the bulb	there is a gap in a circuit
STS2015-gold	answers-students	2.40	it is not in the same path with the bulb and battery	Bulb A is still in a closed path with the battery
STS2015-gold	answers-students	4.40	b and c will be in their own closed paths with the battery.	bulbs B and C are still in closed paths with the battery
STS2015-gold	answers-students		it is connected to the positive terminal	Terminal 1 and the positive terminal are separated by the gap
STS2015-gold	answers-students		it the switch is blocking the battery it effects it if not then it doesnt matter.	If a bulb and a switch are in the same path the switch affects the bulb
STS2015-gold	answers-students	1.20	If the switch is on and makes a gap between the bulb and the battery.	When the switch and the bulb are contained in the same path
STS2015-gold	answers-students	1.20	Y is not needed for bulb a to light	Bulb A is still in a closed path with the battery
STS2015-gold	answers-students		terminal 1 is connected to negative	Terminals 1 and 6 are not connected
STS2015-gold	answers-students		bulbs are in different closed paths	A and C are in different paths with the battery
STS2015-gold	answers-students	4.80	When the switch is in the path of the bulb.	When the switch and the bulb are contained in the same path
STS2015-gold	answers-students	2.20	the positive battery terminak is separated ba a gap from terminal 4	Terminal 4 and the positive battery terminal are in the same electrical state
STS2015-gold	answers-students	1.00	can complete the path by having z be closed	there is a path containing A, C, Z and X
STS2015-gold	answers-students		There will be a gap a bulb A	If bulb A burns out, neither B nor C is in a closed path
STS2015-gold	answers-students		elictrical state of batter and terminal	Measuring voltage indicates the place where the electrical state changes due to a gap.
STS2015-gold	answers-students		the terminal is connected to the battery terminal	terminal 1 is connected to the negative battery terminal
STS2015-gold	answers-students	3.00	It creates a gap in the circut.	the open switch creates a gap
STS2015-gold	answers-students	4.60	Bulb B and C were contained in a closed path with the battery	Bulb B and Bulb C were still contained in the same closed path with the battery.
STS2015-gold	answers-students		the value of the measurement indicates if there is a gap	Measuring voltage indicates the place where the electrical state changes due to a gap.
STS2015-gold	answers-students		The positive battery terminal is separated by a gap from terminal 2.	Terminal 3 and the positive terminal are not connected
STS2015-gold	answers-students		if the damaged bulb and the other bulb are contained within the same path	The damaged bulb and the other bulb must be contained in the same path
STS2015-gold	answers-students		because bulb b is damaged so the path has a gap	Terminals 1, 2 and 3 are separated from the positive battery terminal by a gap
STS2015-gold	answers-students		circuit 2 is connected to a terminal on the battery	there is no closed path containing the battery
STS2015-gold	answers-students		Because it has a gap.	a damaged bulb creates a gap
STS2015-gold	answers-students	1.60	it runs on a different current	If C burns out, then A and B are still in a closed path with the battery.
STS2015-gold	answers-students		the posotive battery and terminal 1 created a circut	Terminal 1 and the positive terminal are separated by the gap
STS2015-gold	answers-students		the bulbs are on separate paths	Bulb B is in a separate path
